RANK,CARRIER,SENTENCE1,SENTENCE2,ID_OLD1,ID_OLD2,ID,CXN,TARGET,ALT1,ALT2,LEX,PERSON,SOURCE,AGENTIVITY,GENERICITY,LIST,PREF,ASSOC,COLL.STR,RATIO,CHECK,EXP,LENGTH,LENGTH.S1,LENGTH.S2,DIFF
132,"Since the start of the economic crisis,",many <b>seem to seek</b> new opportunities.,many <b>seem seeking</b> new opportunities.,33,81,81,complement,filler,to,ing,seem,,rep,seek,,4,to,alt1.strong,-11350.13,0.002351679,yes,-40,13,6,5,1
133,"The offer sounded very good, so",we <b>decided to think</b> about it.,we <b>decided thinking</b> about it.,34,82,82,complement,filler,to,ing,decide,,rep,think,,1,to,alt1.strong,-7564.102,0.001128232,yes,-40,12,6,5,1
134,"The offer sounded very good, so",they <b>decided to hear</b> the details.,they <b>decided hearing</b> the details.,34,82,82,complement,filler,to,ing,decide,,rep,hear,,2,to,alt1.strong,-7564.102,0.001128232,yes,-40,12,6,5,1
135,"Because it made things easier,",they <b>decided to ignore</b> the problem.,they <b>decided ignoring</b> the problem.,34,82,82,complement,filler,to,ing,decide,,assoc,ignore,,3,to,alt1.strong,-7564.102,0.001128232,yes,-40,11,6,5,1
136,"Because they found better jobs elsewhere,",our friends <b>decided to leave</b> town.,our friends <b>decided leaving</b> town.,34,82,82,complement,filler,to,ing,decide,,assoc,leave,,4,to,alt1.strong,-7564.102,0.001128232,yes,-40,12,6,5,1
137,"The researchers were very diligent, so",they <b>expected to find</b> a correlation.,they <b>expected finding</b> a correlation.,35,83,83,complement,filler,to,ing,expect,,assoc,find,,1,to,alt1.strong,-6821.057,0.001005025,yes,-30,12,6,5,1
138,"All participants were working very hard, so",they <b>expected to get</b> good grades.,they <b>expected getting</b> good grades.,35,83,83,complement,filler,to,ing,expect,,rep,get,,2,to,alt1.strong,-6821.057,0.001005025,yes,-30,13,6,5,1
139,"Because everybody in class was smart, they",<b>expected to figure</b> the task out quickly.,<b>expected figuring</b> the task out quickly.,35,83,83,complement,filler,to,ing,expect,,rep,figure,,3,to,alt1.strong,-6821.057,0.001005025,yes,-30,14,7,6,1
140,"To improve infrastructure, the new goverment",<b>expected to spend</b> a lot of money.,<b>expected spending</b> a lot of money.,35,83,83,complement,filler,to,ing,expect,,assoc,spend,,4,to,alt1.strong,-6821.057,0.001005025,yes,-30,13,7,6,1
141,"Because my aunt is a bit stubborn, she",<b>refused to feel</b> sorry for her mistake.,<b>refused feeling</b> sorry for her mistake.,36,84,84,complement,filler,to,ing,refuse,,rep,feel,,1,to,alt1.strong,-5501.467,0.000410247,yes,-30,15,7,6,1
142,"After a fierce battle, the opponent",<b>refused to accept</b> defeat.,<b>refused accepting</b> defeat.,36,84,84,complement,filler,to,ing,refuse,,assoc,accept,,2,to,alt1.strong,-5501.467,0.000410247,yes,-30,10,4,3,1
143,The opposite party was so hostile that,the administration <b>refused to approve</b> the bill.,the administration <b>refused approving</b> the bill.,36,84,84,complement,filler,to,ing,refuse,,assoc,approve,,3,to,alt1.strong,-5501.467,0.000410247,yes,-30,14,7,6,1
144,"Despite the many problems, the council",<b>refused to make</b> changes.,<b>refused making</b> changes.,36,84,84,complement,filler,to,ing,refuse,,rep,make,,4,to,alt1.strong,-5501.467,0.000410247,yes,-30,10,4,3,1
145,"It was a tough discussion, but",the committee <b>agreed to sign</b> the contract.,the committee <b>agreed signing</b> the contract.,37,85,85,complement,filler,to,ing,agree,,assoc,sign,,1,to,alt1.strong,-3389.06694,0.001281777,yes,-30,13,7,6,1
146,"It was a tough discussion, but our insurance",eventually <b>agreed to pay</b> for the damage.,eventually <b>agreed paying</b> for the damage.,37,85,85,complement,filler,to,ing,agree,,assoc,pay,,2,to,alt1.strong,-3389.06694,0.001281777,yes,-30,15,7,6,1
147,"After the residents enquired about it,",the council <b>agreed to look</b> at the issue.,the council <b>agreed looking</b> at the issue.,37,85,85,complement,filler,to,ing,agree,,rep,look,,3,to,alt1.strong,-3389.06694,0.001281777,yes,-30,14,8,7,1
148,"After a family meeting,",we <b>agreed to ask</b> for help.,we <b>agreed asking</b> for help.,37,85,85,complement,filler,to,ing,agree,,rep,ask,,4,to,alt1.strong,-3389.06694,0.001281777,yes,-30,10,6,5,1
149,"Because the shops were very crowded,",they <b>forgot to get</b> some milk.,they <b>forgot getting</b> some milk.,38,86,86,complement,filler,to,ing,forget,,rep,get,,1,to,alt1.weak,-292.5061,0.04281119,,,12,6,5,1
150,"My friend was so absorbed in his book, that",he <b>forgot to go</b> to the shops.,he <b>forgot going</b> to the shops.,38,86,86,complement,filler,to,ing,forget,,rep,go,,2,to,alt1.weak,-292.5061,0.04281119,,,16,7,6,1
151,We were very upset that the professor,<b>forgot to mention</b> the exam.,<b>forgot mentioning</b> the exam.,38,86,86,complement,filler,to,ing,forget,,assoc,mention,,3,to,alt1.weak,-292.5061,0.04281119,,,12,5,4,1
152,The week was so hectic that the boss,<b>forgot to tell</b> me about the assignment.,<b>forgot telling</b> me about the assignment.,38,86,86,complement,filler,to,ing,forget,,assoc,tell,,4,to,alt1.weak,-292.5061,0.04281119,,,15,7,6,1
153,"When he has time off work, he",<b>prefers to stay</b> at home.,<b>prefers staying</b> at home.,39,87,87,complement,filler,to,ing,prefer,,assoc,stay,,1,to,alt1.weak,-46.64356,0.09273423,,,12,5,4,1
154,"My brother is bad at maths, so",he <b>prefers to take</b> language classes.,he <b>prefers taking</b> language classes.,39,87,87,complement,filler,to,ing,prefer,,rep,take,,2,to,alt1.weak,-46.64356,0.09273423,,,13,6,5,1
155,"When given the choice, my parents",<b>prefer to try</b> new things.,<b>prefer trying</b> new things.,39,87,87,complement,filler,to,ing,prefer,,rep,try,,3,to,alt1.weak,-46.64356,0.09273423,,,11,5,4,1
156,"In the dispute between our neighbors, we",<b>prefer to remain</b> neutral.,<b>prefer remaining</b> neutral.,39,87,87,complement,filler,to,ing,prefer,,assoc,remain,,4,to,alt1.weak,-46.64356,0.09273423,,,11,4,3,1
157,"In order to reach consensus, politicians",were <b>urged to work</b> together.,were <b>urged working</b> together.,40,88,88,complement,filler,to,ing,urge,,rep,work,,1,to,alt1.weak,-9.58248,0.08067227,,,11,5,4,1
158,"In cases of problems, participants",were <b>urged to call</b> a supervisor.,were <b>urged calling</b> a supervisor.,40,88,88,complement,filler,to,ing,urge,,assoc,call,,2,to,alt1.weak,-9.58248,0.08067227,,,11,6,5,1
159,"Because of problems, customers",were <b>urged to consider</b> another provider.,were <b>urged considering</b> another provider.,40,88,88,complement,filler,to,ing,urge,,assoc,consider,,3,to,alt1.weak,-9.58248,0.08067227,,,10,6,5,1
160,All exchange students,were <b>urged to talk</b> to a councellor.,were <b>urged talking</b> to a councellor.,40,88,88,complement,filler,to,ing,urge,,rep,talk,,4,to,alt1.weak,-9.58248,0.08067227,,,10,7,6,1
161,"He is not well informed, because",he doesn’t <b>bother to watch</b> the news.,he doesn’t <b>bother watching</b> the news.,41,89,89,complement,filler,to,ing,bother,,assoc,watch,,1,ing,alt2.weak,191.3117,0.1946988,,,13,7,6,1
162,"My sister will never get <br/>anywhere with this, because she",doesn’t <b>bother to try</b> an alternative.,doesn’t <b>bother trying</b> an alternative.,41,89,89,complement,filler,to,ing,bother,,assoc,try,,2,ing,alt2.weak,191.3117,0.1946988,,,16,6,5,1
163,"My father went to the hospital, but they",didn’t <b>bother to see</b> him.,didn’t <b>bother seeing</b> him.,41,89,89,complement,filler,to,ing,bother,,rep,see,,3,ing,alt2.weak,191.3117,0.1946988,,,13,5,4,1
164,"Because they haven’t paid <br/>the musicians upfront, they",didn’t <b>bother to play</b> their instruments.,didn’t <b>bother playing</b> their instruments.,41,89,89,complement,filler,to,ing,bother,,rep,play,,4,ing,alt2.weak,191.3117,0.1946988,,,14,6,5,1
165,"It’s really impressive, but they",<b>hate to show</b> us their collection.,<b>hate showing</b> us their collection.,42,90,90,complement,filler,to,ing,hate,,rep,show,,1,ing,alt2.weak,189.419,0.1967255,,,11,6,5,1
166,"Hopefully, the professor <br/>grades quickly, because I",<b>hate to wait</b> for results.,<b>hate waiting</b> for results.,42,90,90,complement,filler,to,ing,hate,,rep,wait,,2,ing,alt2.weak,189.419,0.1967255,,,12,5,4,1
167,"I usually put my cell on silent, because I",<b>hate to interrupt</b> my work.,<b>hate interrupting</b> my work.,42,90,90,complement,filler,to,ing,hate,,assoc,interrupt,,3,ing,alt2.weak,189.419,0.1967255,,,14,5,4,1
168,"My friends were really hurt by this, but",they <b>hated to admit</b> it.,they <b>hated admitting</b> it.,42,90,90,complement,filler,to,ing,hate,,assoc,admit,,4,ing,alt2.weak,189.419,0.1967255,,,13,5,4,1
169,"My students often don’t believe me, but",I <b>love to see</b> them succeed.,I <b>love seeing</b> them succeed.,43,91,91,complement,filler,to,ing,love,,assoc,see,,1,ing,alt2.strong,945.6431,0.2223687,,,13,6,5,1
170,"We like the restaurant<br/> in our street, because they",<b>love to try</b> out new recipes.,<b>love trying</b> out new recipes.,43,91,91,complement,filler,to,ing,love,,rep,try,,2,ing,alt2.strong,945.6431,0.2223687,,,15,6,5,1
171,"On their weekends off, my parents",<b>love to change</b> things around the house.,<b>love changing</b> things around the house.,43,91,91,complement,filler,to,ing,love,,rep,change,,3,ing,alt2.strong,945.6431,0.2223687,,,13,7,6,1
172,"Although they have little time, they",<b>love to cook</b> for their friends.,<b>love cooking</b> for their friends.,43,91,91,complement,filler,to,ing,love,,assoc,cook,,4,ing,alt2.strong,945.6431,0.2223687,,,12,6,5,1
173,"If tourists want to get around the city,",we <b>recommend to take</b> the metro.,we <b>recommend taking</b> the metro.,44,92,92,complement,filler,to,ing,recommend,,rep,take,,1,ing,alt2.strong,7131.26443,0.9180791,,,14,6,5,1
174,"If tourists want to get around the city,",we <b>recommend to use</b> the metro.,we <b>recommend using</b> the metro.,44,92,92,complement,filler,to,ing,recommend,,assoc,use,,2,ing,alt2.strong,7131.26443,0.9180791,,,14,6,5,1
175,"If tourists want to get around the city,",we <b>recommend to avoid</b> the metro.,we <b>recommend avoiding</b> the metro.,44,92,92,complement,filler,to,ing,recommend,,assoc,avoid,,3,ing,alt2.strong,7131.26443,0.9180791,,,14,6,5,1
176,"If tourists want to get around the city,",we <b>recommend to make</b> their own arrangements.,we <b>recommend making</b> their own arrangements.,44,92,92,complement,filler,to,ing,recommend,,rep,make,,4,ing,alt2.strong,7131.26443,0.9180791,,,15,7,6,1
177,"My new job is fantastic, because",I <b>enjoy to work</b> with my teammates.,I <b>enjoy working</b> with my teammates.,47,93,93,complement,filler,to,ing,enjoy,,assoc,work,,1,ing,alt2.strong,14184.44,0.9964508,yes,40,13,7,6,1
178,"On our days off, my roommates",<b>enjoy to watch</b> movies.,<b>enjoy watching</b> movies.,47,93,93,complement,filler,to,ing,enjoy,,assoc,watch,,2,ing,alt2.strong,14184.44,0.9964508,yes,40,10,4,3,1
179,"My roommate is exhausting, because he",<b>enjoys to fight</b> over nothing.,<b>enjoys fighting</b> over nothing.,47,93,93,complement,filler,to,ing,enjoy,,rep,fight,,3,ing,alt2.strong,14184.44,0.9964508,yes,40,11,5,4,1
180,She’s a real problem-solver and,<b>enjoys to think</b> about complicated stuff.,<b>enjoys thinking</b> about complicated stuff.,47,93,93,complement,filler,to,ing,enjoy,,rep,think,,4,ing,alt2.strong,14184.44,0.9964508,yes,40,11,6,5,1
181,"In order to keep up suspense, we should",<b>avoid to provide</b> too many clues.,<b>avoid providing</b> too many clues.,46,94,94,complement,filler,to,ing,avoid,,rep,provide,,1,ing,alt2.strong,23383.95,0.9964061,yes,40,14,6,5,1
182,"Because of crime, many people",<b>avoid to live</b> in the inner city.,<b>avoid living</b> in the inner city.,46,94,94,complement,filler,to,ing,avoid,,rep,live,,2,ing,alt2.strong,23383.95,0.9964061,yes,40,12,7,6,1
183,"To stay in our teacher’s good book,",we should <b>avoid to violate</b> the rules.,we should <b>avoid violating</b> the rules.,46,94,94,complement,filler,to,ing,avoid,,assoc,violate,,3,ing,alt2.strong,23383.95,0.9964061,yes,40,14,7,6,1
184,"Because it always ends in fights,",we <b>avoid to discuss</b> politics.,we <b>avoid discussing</b> politics.,46,94,94,complement,filler,to,ing,avoid,,assoc,discuss,,4,ing,alt2.strong,23383.95,0.9964061,yes,40,11,5,4,1
185,"After hours of discussion, we",<b>kept to come</b> back to the same solution.,<b>kept coming</b> back to the same solution.,45,95,95,complement,filler,to,ing,keep,,assoc,come,,1,ing,alt2.strong,127879.4,0.9981447,yes,40,13,8,7,1
186,"Despite their claim that<br/>they had fixed the problem,",it <b>kept to happen</b> again and again.,it <b>kept happening</b> again and again.,45,95,95,complement,filler,to,ing,keep,,rep,happen,,2,ing,alt2.strong,127879.4,0.9981447,yes,40,15,7,6,1
187,"Despite many distractions, they",<b>kept to stay</b> focused.,<b>kept staying</b> focused.,45,95,95,complement,filler,to,ing,keep,,rep,stay,,3,ing,alt2.strong,127879.4,0.9981447,yes,40,8,4,3,1
188,"The professor was annoyed, because we",<b>kept to ask</b> questions about the exam.,<b>kept asking</b> questions about the exam.,45,95,95,complement,filler,to,ing,keep,,assoc,ask,,4,ing,alt2.strong,127879.4,0.9981447,yes,40,13,7,6,1
189,"When we explained the problem again,",they <b>started to understand</b> it.,they <b>started understanding</b> it.,48,96,96,complement,filler,to,ing,start,,rep,understand,,1,ing,alt2.strong,79489.42715,0.5302084,,,11,5,4,1
190,"We want to spend some<br/>time in South America, so",we have <b>started to learn</b> Spanish.,we have <b>started learning</b> Spanish.,48,96,96,complement,filler,to,ing,start,,assoc,learn,,2,ing,alt2.strong,79489.42715,0.5302084,,,15,6,5,1
191,"Because my sister is so organised, she",<b>started to study</b> for the exam early.,<b>started studying</b> for the exam early.,48,96,96,complement,filler,to,ing,start,,assoc,study,,3,ing,alt2.strong,79489.42715,0.5302084,,,14,7,6,1
192,"After a lot of criticism, the rail company",<b>started to provide</b> better connections.,<b>started providing</b> better connections.,48,96,96,complement,filler,to,ing,start,,rep,provide,,4,ing,alt2.strong,79489.42715,0.5302084,,,13,5,4,1
193,"There were several alternatives, so",they <b>suggested another option to him</b> early.,they <b>suggested him another option</b> early.,101,97,,argstr,filler,dative,ditr,suggest,pron,comm,low,,2,dative,0.007692308,-1.72615,,yes,-30,12,7,6,1
194,"There were several alternatives, so",they <b>suggested another option to the patient</b> early.,they <b>suggested the patient another option</b> early.,102,98,,argstr,filler,dative,ditr,suggest,np,comm,low,,4,dative,0.007692308,-1.72615,,yes,-30,13,8,7,1
195,"The situation got worse, so",we <b>expressed our concerns to them</b>.,we <b>expressed them our concerns</b>.,105,99,,argstr,filler,dative,ditr,express,pron,comm,low,,1,dative,0.012345679,-0.86289,,yes,-30,11,6,5,1
196,"The situation got worse, so",we <b>expressed our concerns to the group leaders</b>.,we <b>expressed the group leaders our concerns</b>.,106,100,,argstr,filler,dative,ditr,express,np,comm,low,,3,dative,0.012345679,-0.86289,,yes,-30,13,8,7,1
197,"In order to make improvements,",experts <b>recommended new measures to them</b>.,experts <b>recommended them new measures</b>.,107,101,,argstr,filler,dative,ditr,recommend,pron,comm,low,,2,dative,0.020408163,-0.86289,,,,11,6,5,1
198,"In order to make improvements,",experts <b>recommended new measures to the politicians</b>.,experts <b>recommended the politicians new measures</b>.,108,102,,argstr,filler,dative,ditr,recommend,np,comm,low,,3,dative,0.020408163,-0.86289,,,,12,7,6,1
199,"Because the video didn’t work,",the teacher <b>described the picture to them</b>.,the teacher <b>described them the picture</b>.,109,103,,argstr,filler,dative,ditr,describe,pron,comm,low,,1,dative,0.03875969,-8.64543,,,,12,7,6,1
200,"Because the video didn’t work,",the teacher <b>described the picture to her students</b>.,the teacher <b>described her students the picture</b>.,110,104,,argstr,filler,dative,ditr,describe,np,comm,low,,4,dative,0.03875969,-8.64543,,,,13,8,7,1
201,"As the alternative was not obvious,",we <b>mentioned the possibility to him</b>.,we <b>mentioned him the possibility</b>.,103,105,,argstr,filler,dative,ditr,mention,pron,comm,low,6.023166,1,dative,0.065656566,-11.24623,0,yes,-40,12,6,5,1
202,"As the alternative was not obvious,",we <b>mentioned the possibility to the customer</b>.,we <b>mentioned the customer the possibility</b>.,104,106,,argstr,filler,dative,ditr,mention,np,comm,low,6.023166,3,dative,0.065656566,-11.24623,0,yes,-40,13,7,6,1
203,"At the end of the shift,",the overseer <b>reported the result to his boss</b>.,the overseer <b>reported his boss the result</b>.,114,107,,argstr,filler,dative,ditr,report,np,comm,low,,2,dative,0.11016949,-11.24623,,,,14,8,7,1
204,"At the end of the shift,",the overseer <b>reported the result to him</b>.,the overseer <b>reported him the result</b>.,113,108,,argstr,filler,dative,ditr,report,pron,comm,low,,4,dative,0.110169492,-11.24623,,,,13,7,6,1
205,"Because his English was poor,",she <b>explained the exercise to him</b> again.,she <b>explained him the exercise</b> again.,115,109,,argstr,filler,dative,ditr,explain,pron,comm,low,,2,dative,0.114942529,-17.32769,,yes,-40,12,7,6,1
206,"Because his English was poor,",she <b>explained the exercise to the student</b> again.,she <b>explained the student the exercise</b> again.,116,110,,argstr,filler,dative,ditr,explain,np,comm,low,,4,dative,0.114942529,-17.32769,,yes,-40,13,8,7,1
207,"We were happy, because we",<b>conveyed our ideas to them</b> convincingly.,<b>conveyed them our ideas</b> convincingly.,111,111,,argstr,filler,dative,ditr,convey,pron,comm,low,,1,dative,0.3333333,-3.45377,,,,11,6,5,1
208,"We were happy, because we",<b>conveyed our ideas to the sponsors</b> convincingly.,<b>conveyed the sponsors our ideas</b> convincingly.,112,112,,argstr,filler,dative,ditr,convey,np,comm,low,,3,dative,0.3333333,-3.45377,,,,12,7,6,1
209,"Their garden looked wild, so",we <b>lent our lawn mower to them</b>.,we <b>lent them our lawn mower</b>.,117,113,,argstr,filler,dative,ditr,lend,pron,trans,low,,4,dative,0.009345794,-0.00001,,,,12,7,6,1
210,"Their garden looked wild, so",we <b>lent our lawn mower to the neighbours</b>.,we <b>lent the neighbors our lawn mower</b>.,118,114,,argstr,filler,dative,ditr,lend,np,trans,low,,1,dative,0.009345794,-0.00001,,,,13,8,7,1
211,"Because she seemed competent,",they <b>assigned the task to her</b>.,they <b>assigned her the task</b>.,119,115,,argstr,filler,dative,ditr,assign,pron,trans,low,,3,none,none,-0.30438,,,,10,6,5,1
212,"Because she seemed competent,",they <b>assigned the task to the new employee</b>.,they <b>assigned the new employee the task</b>.,120,116,,argstr,filler,dative,ditr,assign,np,trans,low,,2,none,none,-0.30438,,,,12,8,7,1
213,"If you are unhappy with a decision,",<b>send a letter of complaint to them</b>.,<b>send them a letter of complaint</b>.,121,117,,argstr,filler,dative,ditr,send,pron,trans,low,,4,none,none,0.10348,,,,14,7,6,1
214,"If you are unhappy with a decision,",<b>send a letter of complaint to the council</b>.,<b>send the council a letter of complaint</b>.,122,118,,argstr,filler,dative,ditr,send,np,trans,low,,2,none,none,0.10348,,,,15,8,7,1
215,"This morning on the train,",a spy <b>handed a message to her</b>.,a spy <b>handed her a message</b>.,123,119,,argstr,filler,dative,ditr,hand,pron,trans,low,,3,none,none,,,,,12,7,6,1
216,"This morning on the train,",a spy <b>handed a message to an informant</b>.,a spy <b>handed an informant a message</b>.,124,120,,argstr,filler,dative,ditr,hand,np,trans,low,,1,none,none,,,,,13,8,7,1
217,The company was bad and,never <b>paid a decent wage to him</b>.,never <b>paid him a decent wage</b>.,125,121,,argstr,filler,dative,ditr,pay,pron,trans,high,,2,none,none,,,,,12,7,6,1
218,The company was bad and,never <b>paid a decent wage to my uncle</b>.,never <b>paid my uncle a decent wage</b>.,126,122,,argstr,filler,dative,ditr,pay,np,trans,high,,3,none,none,,,,,13,8,7,1
219,"If we have questions,",we can <b>write an email to them</b>.,we can <b>write them an email</b>.,127,123,,argstr,filler,dative,ditr,write,pron,trans,high,,4,none,none,,,,,11,7,6,1
220,"If we have questions,",we can <b>write an email to our professor</b>.,we can <b>write our professor an email</b>.,128,124,,argstr,filler,dative,ditr,write,np,trans,high,,1,none,none,,,,,12,8,7,1
221,"Because he was always late,",they <b>got a watch for him</b>.,they <b>got him a watch</b>.,129,125,,argstr,filler,dative,ditr,get,pron,trans,high,,2,none,none,,,,,11,6,5,1
222,"Because he was always late,",they <b>got a watch for their friend</b>.,they <b>got their friend a watch</b>.,130,126,,argstr,filler,dative,ditr,get,np,trans,high,,3,none,none,,,,,12,7,6,1
223,"Every night before bed,",their parents <b>read a story to them</b>.,their parents <b>read them a story</b>.,131,127,,argstr,filler,dative,ditr,read,pron,trans,high,,4,none,none,,,,,11,7,6,1
224,"Every night before bed,",their parents <b>read a story to their children</b>.,their parents <b>read their children a story</b>.,132,128,,argstr,filler,dative,ditr,read,np,trans,high,,1,none,none,,,,,12,8,7,1
225,"After I saw the disaster on TV,",I <b>donated $50 to them</b>.,I <b>donated them $50</b>.,133,129,,argstr,filler,dative,ditr,donate,pron,trans,,,1,dative,dative,,,yes,-40,12,5,4,1
226,"After I saw the disaster on TV,",I <b>donated $50 to the relief fund</b>.,I <b>donated the relief fund $50</b>.,134,130,,argstr,filler,dative,ditr,donate,np,trans,,,2,dative,dative,,,yes,-40,14,7,6,1
227,"After I saw the disaster on TV,",I <b>donated $50 to them</b>.,I <b>donated them $50</b>.,135,131,,argstr,filler,dative,ditr,donate,pron,trans,,,3,dative,dative,,,yes,-40,12,5,4,1
228,"After I saw the disaster on TV,",I <b>donated $50 to the relief fund</b>.,I <b>donated the relief fund $50</b>.,136,132,,argstr,filler,dative,ditr,donate,np,trans,,,4,dative,dative,,,yes,-40,14,7,6,1
